id;codigo_cliente_sap;numero_contrato_sap;numero_contrato_tpz;nome;status;data_assinatura;data_reajuste;data_termino;estado;cnpj;inscricao_estadual;vigencia
1;Table Cotton;superstructure;Gorgeous Corners Steel;Keyboard;EXE Steel;2020-04-15;2020-04-15;2020-04-15;application;Rwanda;best-of-breed;52844
2;regional Jersey Steel;Trinidad and Tobago;feed;back-end Engineer Nepalese Rupee;Toys;2020-04-15;2020-04-15;2020-04-14;bluetooth Washington;JBOD;Incredible Kansas Mountain;22215
3;Fall;envisioneer Center Cambridgeshire;synergy Tasty;Causeway;motivating;2020-04-15;2020-04-15;2020-04-15;parsing;navigate e-enable withdrawal;Branding;58753
4;Fully-configurable invoice Ohio;New Jersey backing up;infrastructures Cheese Sleek Rubber Table;Berkshire EXE;Operations Intelligent Phased;2020-04-15;2020-04-15;2020-04-15;red;Street Garden;Forges;32656
5;Sleek sticky;Frozen;program;International;Soap;2020-04-15;2020-04-14;2020-04-14;Money Market Account copying;hacking cross-platform;Reactive;3985
6;payment;Product technologies;navigate;fuchsia Licensed;Keyboard XML;2020-04-15;2020-04-15;2020-04-15;payment New Hampshire;AI EXE;back up deposit Consultant;60498
7;Bedfordshire Checking Account;Kenya workforce Generic;Business-focused;Brand;Fantastic orange drive;2020-04-14;2020-04-15;2020-04-15;Maldives Handcrafted Cotton Chicken;Summit;Ouguiya exploit Principal;2852
8;Coordinator;Northern Mariana Islands;proactive Stravenue;Rustic Solomon Islands Dollar;Paradigm Dynamic;2020-04-15;2020-04-15;2020-04-15;bleeding-edge GB IB;Nevada copy;Colorado;73468
9;Diverse;Cambridgeshire Producer;International strategy;Licensed Architect;Kyrgyz Republic SAS;2020-04-15;2020-04-15;2020-04-15;Computers challenge Industrial;tertiary;hybrid;37867
10;Practical red Small;Iowa;Lodge;withdrawal withdrawal Indiana;deposit proactive strategize;2020-04-15;2020-04-15;2020-04-15;ROI Electronics Hill;azure Marketing;next generation;17435
